General Project,Contact Person's Last Name,Site Name,Country,Timezone,Easting,Northing,UTM zone,General Sampling Period Name,General Sampling Period Name,Photo Date,Photo Time,Class,Order,Family,Genus,Species,Number of Animals,Camera Start Date and Time,Camera End Date and Time,Camera Make,Camera Model,Flash (Yes or No),Baited_unbaited,Bait type (if applicable),Photos per trigger,Species Diet Description,Common Name
UWIN Edmonton,Stevenson,EDALA04HOH1,Canada,GMT-6,345886.2623,5949536.804,12U,,,6/27/2018,3:59:56,Mammalia,Carnivora,Felidae,Felis,catus,1,5/24/2018,6/28/2018,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA04HOH1,Canada,GMT-6,345886.2623,5949536.804,12U,,,6/27/2018,3:59:57,Mammalia,Carnivora,Felidae,Felis,catus,1,5/24/2018,6/28/2018,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA04HOH1,Canada,GMT-6,345886.2623,5949536.804,12U,,,6/27/2018,3:59:58,Mammalia,Carnivora,Felidae,Felis,catus,1,5/24/2018,6/28/2018,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA04HOH1,Canada,GMT-6,345886.2623,5949536.804,12U,,,5/25/2020,23:42:10,Mammalia,Carnivora,Felidae,Felis,catus,1,12/11/2019,5/29/2020,RECONYX,HF2 PRO COVERT,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALC02BLQ1,Canada,GMT-6,332840.9565,5926581.19,12U,UWIN Season Fall 2,Season Fall 2,10/2/2019,2:19:13,Mammalia,Carnivora,Felidae,Felis,catus,1,9/27/2019,12/12/2019,RECONYX,HF2 PRO COVERT,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALC02BLQ1,Canada,GMT-6,332840.9565,5926581.19,12U,UWIN Season Fall 2,Season Fall 2,10/20/2019,23:27:37,Mammalia,Carnivora,Felidae,Felis,catus,1,9/27/2019,12/12/2019,RECONYX,HF2 PRO COVERT,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA02KER2,Canada,GMT-6,340905.5056,5940707.276,12U,UWIN Season Spring 3,Season Spring 3,4/18/2020,0:07:07,Mammalia,Carnivora,Felidae,Felis,catus,1,4/16/2020,8/3/2020,RECONYX,PC800 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA02KER2,Canada,GMT-6,340905.5056,5940707.276,12U,UWIN Season Spring 3,Season Spring 3,4/21/2020,4:18:45,Mammalia,Carnivora,Felidae,Felis,catus,1,4/16/2020,8/3/2020,RECONYX,PC800 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA02KER2,Canada,GMT-6,340905.5056,5940707.276,12U,,,6/13/2020,22:19:04,Mammalia,Carnivora,Felidae,Felis,catus,1,4/16/2020,8/3/2020,RECONYX,PC800 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA02KER2,Canada,GMT-6,340905.5056,5940707.276,12U,,,6/13/2020,22:19:04,Mammalia,Carnivora,Felidae,Felis,catus,1,4/16/2020,8/3/2020,RECONYX,PC800 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA02KER2,Canada,GMT-6,340905.5056,5940707.276,12U,,,6/13/2020,22:19:05,Mammalia,Carnivora,Felidae,Felis,catus,1,4/16/2020,8/3/2020,RECONYX,PC800 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA02RVR1,Canada,GMT-6,340766.7907,5936966.78,12U,,,9/6/2018,5:44:31,Mammalia,Carnivora,Felidae,Felis,catus,1,8/2/2018,9/24/2018,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA02RVR1,Canada,GMT-6,340766.7907,5936966.78,12U,,,9/6/2018,5:44:32,Mammalia,Carnivora,Felidae,Felis,catus,1,8/2/2018,9/24/2018,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
UWIN Edmonton,Stevenson,EDALA02RVR1,Canada,GMT-6,340766.7907,5936966.78,12U,,,9/6/2018,5:44:33,Mammalia,Carnivora,Felidae,Felis,catus,1,8/2/2018,9/24/2018,RECONYX,PC900 PROFESSIONAL,Yes,No,,3,,Domestic cat
