unique_id,city,site,lat,lon
366,bege,1528,52.610474398885856,13.21858660002673
367,bege,1529,52.615948098885816,13.219377500026715
368,bege,1530,52.48948009888596,13.282054700025643
369,bege,1531,52.496646498886,13.262813300025925
370,bege,1532,52.403763298886176,13.291026200025405
371,bege,1533,52.39807999888616,13.309409900025123
372,bege,1538,52.57759169888572,13.57128020002141
373,bege,1539,52.58094309888576,13.562203700021549
374,bege,1540,52.54690999888583,13.566750000021436
375,bege,1541,52.541377498885794,13.552522300021652
376,bege,1546,52.385229398886,13.7007571000193
377,bege,1548,52.43799929888596,13.712224200019172
378,bege,1551,52.51017629888598,13.229006700026446
379,bege,1553,52.462859998885946,13.575480000021232
380,bege,1558,52.50562659888587,13.416922900023636
381,bege,1561,52.41285469888614,13.34630530002459
382,bege,1562,52.57969999888578,13.370429500024413
383,bege,1564,52.576205498885784,13.392903800024072
384,bege,1566,52.57104899888582,13.32332530002512
385,bege,1568,52.45114749888603,13.407049600023734
386,bege,1572,52.42208999888598,13.575290000021198
387,bege,1574,52.59709999888591,13.144300000027826
388,bege,1575,52.55456099888585,13.446647700023249
389,bege,1578,52.547079798885925,13.266367800025934
390,bege,1581,52.56184029888582,13.397650000023988
391,bege,1586,52.53708929888578,13.654689400020121
392,bege,1587,52.41307769888602,13.649526800020089
393,bege,1591,52.592309998885746,13.427830000023572
394,bege,1592,52.41983999888603,13.431700000023328
395,bege,1593,52.4896592988859,13.522465700022048
396,bege,1594,52.416548498885994,13.541351400021696
397,bege,1598,52.59539979888575,13.369561800024453
398,bege,1600,52.53002999888597,13.167199900027404
399,bege,1601,52.55886869888588,13.191552300027073
400,bege,1602,52.44887979888604,13.296132200025383
401,bege,1603,52.56583099888593,13.225014400026582
402,bege,1605,52.44564579888599,13.556888800021486
403,bege,1606,52.60307629888572,13.43863840002342
404,bege,1608,52.50544409888589,13.415386500023665
405,bege,1609,52.440419998885986,13.541260000021712
406,bege,1671,52.409882298886124,13.230411100026311
407,bege,1672,52.51446999888585,13.589591200021069
408,bege,1673,52.49579819888589,13.615610000020666
409,bege,1674,52.39138999888601,13.636360000020256
410,bege,1679,52.42415429888613,13.22017780002648
411,bege,1682,52.50899999888582,13.627240000020507
412,bege,1683,52.49935959888592,13.48904890002255
413,bege,1684,52.487319998885845,13.585710000021113
414,bege,1685,52.54506189888601,13.12586040002803
415,bege,1686,52.53402039888575,13.631197300020471
416,bege,1687,52.54010899888581,13.548736500021706
417,bege,1688,52.624988498885784,13.302107800025492
418,bege,1689,52.55751999888585,13.35895000002456
419,bege,1767,52.41361289888622,13.143858700027602
420,bege,1770,52.48557409888608,13.183100200027104
421,bege,1771,52.61387309888581,13.230535000026547
422,bege,1773,52.60623829888579,13.233661100026502
423,bege,1774,52.5833119988859,13.22373090002662
424,bege,1775,52.44321749888612,13.247289700026101
425,bege,1777,52.63802999888578,13.275640000025907
426,bege,1779,52.45017259888604,13.259615400025917
427,bege,1780,52.44593319888609,13.279341200025616
428,bege,1781,52.44352149888607,13.273393000025708
429,bege,1782,52.428455298886135,13.275441900025655
430,bege,1784,52.4124522988861,13.264308500025816
431,bege,1790,52.59364299888585,13.309361000025344
432,bege,1793,52.425910198886065,13.294781400025379
433,bege,1794,52.41039729888612,13.307837200025157
434,bege,1796,52.590649998885844,13.317490000025213
435,bege,1797,52.591405298885846,13.323459300025128
436,bege,1798,52.5899499988858,13.312860000025298
437,bege,1800,52.59412979888579,13.31794570002522
438,bege,1801,52.55265549888583,13.33757350002488
439,bege,1805,52.44532999888605,13.34511000002464
440,bege,1806,52.43485999888606,13.319260100025014
441,bege,1807,52.431079998886126,13.321350000024987
442,bege,1808,52.42511339888607,13.340373400024697
443,bege,1809,52.42227999888613,13.337630000024724
444,bege,1810,52.41656959888615,13.33427240002478
445,bege,1812,52.566465398885875,13.355652100024624
446,bege,1813,52.47121929888604,13.354412600024533
447,bege,1815,52.46511279888598,13.349749200024604
448,bege,1816,52.457969998885986,13.364410000024368
449,bege,1817,52.595649998885804,13.38967000002414
450,bege,1818,52.5969274988858,13.384100100024225
451,bege,1819,52.6002753988858,13.38923570002416
452,bege,1820,52.586339698885794,13.37400300002437
453,bege,1821,52.57627609888584,13.392834900024079
454,bege,1824,52.44596479888598,13.415344000023595
455,bege,1827,52.44082999888601,13.416680000023577
456,bege,1830,52.55100289888577,13.485694300022665
457,bege,1831,52.419631898886074,13.452391800023024
458,bege,1832,52.49745839888592,13.480433400022681
459,bege,1835,52.40883219888604,13.476872000022654
460,bege,1836,52.483622698885924,13.516329800022127
461,bege,1839,52.439538698886025,13.511365100022164
462,bege,1841,52.421808198886005,13.546716000021613
463,bege,1842,52.5236475988858,13.562583300021483
464,bege,1843,52.51367719888582,13.560282100021514
465,bege,1845,52.42607999888595,13.56614000002134
466,bege,1846,52.48711219888586,13.600857800020883
467,bege,1847,52.46244999888588,13.594910000020938
468,bege,1849,52.49907969888586,13.584765600021129
469,bege,1850,52.44483829888593,13.595400400020912
470,bege,1852,52.498669998885816,13.623090000020557
471,bege,1853,52.53012089888578,13.639355100020348
472,bege,1854,52.42402999888602,13.42373000002346
473,bege,1858,52.44783899888601,13.452035400023059
474,bege,1859,52.59094239888573,13.473449800022879
475,bege,1860,52.60378999888573,13.483440000022753
476,bege,1861,52.49474999888587,13.53221000002191
477,bege,1863,52.47688329888591,13.541276300021748
478,bege,1864,52.47316159888591,13.534978100021839
479,bege,1865,52.49172999888586,13.571270000021327
480,bege,1870,52.61259999888577,13.330000000025066
481,bege,1871,52.611619198885776,13.343399600024865
